Sexo;Edad;Provincias;Periodo;Total
ambos sexos;3 anyos;castilla-la mancha;2020.0;4333.0
ambos sexos;3 anyos;andalucia;2020.0;7009.0
ambos sexos;3 anyos;galicia;2020.0;8652.0
ambos sexos;3 anyos;castilla-la mancha;2020.0;1570.0
ambos sexos;3 anyos;pais vasco;2020.0;6259.0
ambos sexos;3 anyos;catalunya;2020.0;7653.0
ambos sexos;3 anyos;andalucia;2020.0;8866.0
ambos sexos;3 anyos;castilla-la mancha;2020.0;2587.0
ambos sexos;3 anyos;andalucia;2020.0;4872.0
ambos sexos;3 anyos;aragon;2020.0;1826.0
ambos sexos;3 anyos;andalucia;2020.0;5401.0
ambos sexos;3 anyos;castilla y leon;2020.0;2979.0
ambos sexos;3 anyos;catalunya;2020.0;4084.0
ambos sexos;3 anyos;galicia;2020.0;2220.0
ambos sexos;3 anyos;comunidad de madrid;2020.0;65497.0
ambos sexos;3 anyos;andalucia;2020.0;16127.0
ambos sexos;3 anyos;murcia;2020.0;16083.0
ambos sexos;3 anyos;navarra;2020.0;6330.0
ambos sexos;3 anyos;galicia;2020.0;1853.0
ambos sexos;3 anyos;castilla y leon;2020.0;1088.0
ambos sexos;3 anyos;canarias;2020.0;9143.0
ambos sexos;3 anyos;galicia;2020.0;7144.0
ambos sexos;3 anyos;la rioja;2020.0;2803.0
ambos sexos;3 anyos;castilla y leon;2020.0;2300.0
ambos sexos;3 anyos;canarias;2020.0;8284.0
ambos sexos;3 anyos;castilla y leon;2020.0;1229.0
ambos sexos;3 anyos;andalucia;2020.0;19384.0
ambos sexos;3 anyos;castilla y leon;2020.0;677.0
ambos sexos;3 anyos;catalunya;2020.0;7797.0
ambos sexos;3 anyos;aragon;2020.0;1066.0
ambos sexos;3 anyos;castilla-la mancha;2020.0;7057.0
ambos sexos;3 anyos;comunidad valenciana;2020.0;23055.0
ambos sexos;3 anyos;castilla y leon;2020.0;4183.0
ambos sexos;3 anyos;castilla y leon;2020.0;943.0
ambos sexos;3 anyos;aragon;2020.0;8719.0
ambos sexos;3 anyos;ceuta;2020.0;1005.0
ambos sexos;3 anyos;melilla;2020.0;1345.0
ambos sexos;4 anyos;total nacional;2020.0;440044.0
ambos sexos;4 anyos;castilla-la mancha;2020.0;3616.0
ambos sexos;4 anyos;comunidad valenciana;2020.0;17477.0
ambos sexos;4 anyos;andalucia;2020.0;8212.0
ambos sexos;4 anyos;pais vasco;2020.0;3295.0
ambos sexos;4 anyos;asturias;2020.0;6731.0
ambos sexos;4 anyos;castilla y leon;2020.0;1176.0
ambos sexos;4 anyos;extremadura;2020.0;5940.0
ambos sexos;4 anyos;islas baleares;2020.0;11507.0
ambos sexos;4 anyos;catalunya;2020.0;54373.0
ambos sexos;4 anyos;pais vasco;2020.0;9672.0
ambos sexos;4 anyos;castilla y leon;2020.0;2915.0
ambos sexos;4 anyos;extremadura;2020.0;2978.0
ambos sexos;4 anyos;andalucia;2020.0;12228.0
ambos sexos;4 anyos;cantabria;2020.0;4587.0
ambos sexos;4 anyos;comunidad valenciana;2020.0;5416.0
ambos sexos;4 anyos;castilla-la mancha;2020.0;4379.0
ambos sexos;4 anyos;andalucia;2020.0;7174.0
ambos sexos;4 anyos;galicia;2020.0;8789.0
ambos sexos;4 anyos;castilla-la mancha;2020.0;1619.0
