Sexo;Edad;Provincias;Periodo;Total
ambos sexos;4;zaragoza;1 de enero de 2020;8.969
ambos sexos;4;ceuta;1 de enero de 2020;1.031
ambos sexos;4;melilla;1 de enero de 2020;1.414
ambos sexos;5;total nacional;1 de enero de 2020;447.314
ambos sexos;5;albacete;1 de enero de 2020;3.619
ambos sexos;5;alicante/alacant;1 de enero de 2020;17.764
ambos sexos;5;almeria;1 de enero de 2020;8.253
ambos sexos;5;araba/alava;1 de enero de 2020;3.394
ambos sexos;5;asturias;1 de enero de 2020;6.941
ambos sexos;5;avila;1 de enero de 2020;1.287
ambos sexos;5;badajoz;1 de enero de 2020;6.145
ambos sexos;5;balears, illes;1 de enero de 2020;11.673
ambos sexos;5;barcelona;1 de enero de 2020;55.239
ambos sexos;5;bizkaia;1 de enero de 2020;10.037
ambos sexos;5;burgos;1 de enero de 2020;2.983
ambos sexos;5;caceres;1 de enero de 2020;3.040
ambos sexos;5;cadiz;1 de enero de 2020;12.449
ambos sexos;5;cantabria;1 de enero de 2020;4.721
ambos sexos;5;castellon/castello;1 de enero de 2020;5.595
ambos sexos;5;ciudad real;1 de enero de 2020;4.297
ambos sexos;5;cordoba;1 de enero de 2020;7.293
ambos sexos;5;corunya, a;1 de enero de 2020;8.625
ambos sexos;5;cuenca;1 de enero de 2020;1.647
ambos sexos;5;gipuzkoa;1 de enero de 2020;6.594
ambos sexos;5;girona;1 de enero de 2020;7.975
ambos sexos;5;granada;1 de enero de 2020;8.756
ambos sexos;5;guadalajara;1 de enero de 2020;2.700
ambos sexos;5;huelva;1 de enero de 2020;5.290
ambos sexos;5;huesca;1 de enero de 2020;1.850
ambos sexos;5;jaen;1 de enero de 2020;5.562
ambos sexos;5;leon;1 de enero de 2020;3.107
ambos sexos;5;lleida;1 de enero de 2020;4.321
ambos sexos;5;lugo;1 de enero de 2020;2.237
ambos sexos;5;madrid;1 de enero de 2020;67.954
ambos sexos;5;malaga;1 de enero de 2020;16.941
ambos sexos;5;murcia;1 de enero de 2020;16.880
ambos sexos;5;navarra;1 de enero de 2020;6.721
ambos sexos;5;ourense;1 de enero de 2020;1.947
ambos sexos;5;palencia;1 de enero de 2020;1.228
ambos sexos;5;palmas, las;1 de enero de 2020;9.399
ambos sexos;5;pontevedra;1 de enero de 2020;7.693
ambos sexos;5;rioja, la;1 de enero de 2020;3.045
ambos sexos;5;salamanca;1 de enero de 2020;2.420
ambos sexos;5;santa cruz de tenerife;1 de enero de 2020;8.751
